焦虑怎么办	如何缓解焦虑	1
Python怎么学	Java和Python哪个好	0
这周末会降温吗	周末气温会下降吗	1
附近有什么餐厅	怎么做清蒸鱼	0
可以退货吗	支持退换货吗	1
怎么去火车站	去火车站怎么走	1
这个有别的颜色吗	还有其他颜色吗	1
社保断了怎么办	笔记本电脑推荐	0
今天天气怎么样	怎么提高自信	0
空调不制冷怎么办	空调不制冷怎么解决	1
黄金价格今天多少	今天金价是多少	1
高考什么时候	高考日期是什么	1
能打折吗	有折扣吗	1
明天天气怎么样	余额宝收益率是多少	0
比特币现在价格	比特币最新价格	1
怎么提高自信	如何增强自信心	1
今天下午开会吗	今天下午有会吗	0
附近有地铁吗	考研英语怎么复习	0
失眠怎么办	红烧肉的做法	0
现在是什么季节	现在是哪个季节	1
表白被拒怎么办	表白失败怎么挽回	1
怎么去天安门	明天北京限行吗	0
马桶漏水怎么办	马桶漏水怎么修	1
今天天气怎么样	今天股票怎么样	0
怎么写简历	简历怎么写才好	1
有什么特色菜	招牌菜是什么	1
适合新手的工作	零经验适合什么工作	1
怎么注册公司	公司注册资金多少	0
GDP增速是多少	失业率是多少	0
今天星期几	今天是星期几	1
A和B是朋友	A和B是同学	0
怎么备份通讯录	如何备份联系人	1
明天北京会不会下雪	北京明天有雪吗	1
包邮吗	免运费吗	1
A比B大很多	B比A只大一点	0
这周天气怎么样	这周的天气如何	1
这路公交车到不到故宫	去故宫坐这趟车能到吗	1
这个bug怎么修	这个报错是什么意思	0
上海明天空气质量如何	上海明天的空气好吗	1
这个月降水量多少	本月的降雨量是多少	1
感冒了吃什么药	感冒应该吃什么药	1
手机卡顿了怎么办	手机变卡怎么解决	1
猫为什么喵喵叫	猫为什么踩奶	0
考研英语怎么复习	考研英语如何备考	1
怎么煮鸡蛋	煮鸡蛋要几分钟	1
数据结构和算法重要吗	怎么刷LeetCode	0
今天天气怎么样	附近有什么好吃的	0
电脑蓝屏怎么办	今天有什么新闻	0
需要忌口吗	有什么不能吃的	1
电脑蓝屏怎么办	电脑蓝屏怎么解决	1
冰箱有噪音正常吗	冰箱噪音大是什么原因	1
下星期天气怎么样	下周的天气情况	1
感冒了吃什么药	怎么安装打印机	0
怎么安装Anaconda	Anaconda是什么	0
最近几天天气怎么样	最近几天的天气如何	1
明天有雾霾吗	明天的空气质量好吗	1
打车去机场多少钱	去机场打车要多少钱	1
研究生要读几年	硕士读多久	1
发烧多少度该去医院	发烧到多少度要去医院	1
怎么去火车站	火车站怎么走	0
怎么减压	压力大怎么办	1
如何交朋友	怎么认识新朋友	1
四六级什么时候报名	四六级报名时间	1
今天杭州天气	杭州今天天气如何	1
健身房月卡多少钱	健身教练多少钱	0
有什么副作用	会有副作用吗	1
这道菜怎么做	这道菜的做法	1
今天苏州下雨了吗	苏州今天有雨吗	1
怎么追女生	如何追求女生	1
怎么设置自动关机	如何定时关机	1
快递到哪儿了	怎么做蛋糕	0
到市中心远不远	离市中心多远	1
基金定投怎么样	基金赎回要多久	0
能打折吗	台风什么时候来	0
开车去上海要几个小时	到上海开车多久	1
红烧肉的做法	红烧肉怎么做好吃	1
A比B大吗	B比A小吗	0
深蹲有什么好处	深蹲一天做多少	0
这本书是我的	这本书是你的	0
到机场要多久	去机场需要多长时间	1
怎么练腹肌	腹肌多久能练出来	0
今天限行吗	今天限号是多少	0
健身房几点开门	国庆节高速免费吗	0
尺寸合适吗	尺码标准吗	1
明天放假吗	明天上班吗	0
最近有什么好剧	有什么好看的电视剧	1
这个专业就业怎么样	这个专业好找工作吗	1
杭州到上海高铁多久	杭州到上海高铁票价	0
这个衣服有货吗	这件衣服好看吗	0
考研要准备什么	这个手机续航怎么样	0
这个电影评分	这部电影评分怎么样	1
周末有雨吗	这个周末下雨吗	1
豆瓣高分电影	豆瓣评分高的电影	1
故宫门票多少钱	故宫几点开门	0
我想学Python	我会Python	0
怎么还房贷	公积金怎么提取	0
多久能好	多长时间能痊愈	1
猫不吃东西怎么办	猫咪不吃饭怎么回事	1
工资涨了	物价涨了	0
有货吗	还有库存吗	1
这家店评分怎么样	这家店口碑好吗	1
热水器打不着火	热水器点不着火怎么处理	1
需要预约吗	要预订吗	1
明天会下雨吗	昨天下了雨	0
能便宜点吗	质量怎么样	0
狗感冒了吃什么药	狗狗感冒了怎么办	1
辞职要提前多久	离职需要提前多久说	1
怎么学游泳	蛙泳和自由泳哪个快	0
个税怎么申报	个人所得税如何申报	1
英语四级多少分及格	研究生考试科目有哪些	0
附近有地铁站吗	最近的地铁站在哪	0
去天安门怎么坐车	怎么坐车去天安门	1
苏州有什么景点	苏州有什么美食	0
这本书值得看吗	这本书推荐吗	1
密码忘记了怎么办	怎么找回密码	1
猫多大可以洗澡	猫咪什么时候可以洗澡	1
Linux怎么查看文件	Linux怎么删除文件	0
这个药一天吃几次	这个药一天吃多少	1
类似权力的游戏的剧	有什么像权游的剧	1
面试要注意什么	面试注意事项	1
苏州明天天气	杭州今天天气	0
怎么追女生	怎么清理手机内存	0
怎么训练狗狗坐下	如何教狗狗坐下	1
托福和雅思哪个难	托福雅思哪个更难	1
失眠怎么办	晚上睡不着怎么办	1
